profile,account_id,region,db_instance_id,engine,db_instance_class,availability_zone,vpc_id,aurora_cluster_id,storage_type,allocated_storage_gib,provisioned_iops,iops_cap_note,cpu_avg_pct,cpu_p95_pct,cpu_max_pct,connections_avg,connections_p95,connections_max,read_iops_avg,read_iops_p95,read_iops_max,write_iops_avg,write_iops_p95,write_iops_max,iops_util_pct,read_throughput_avg_Bps,read_throughput_p95_Bps,read_throughput_max_Bps,write_throughput_avg_Bps,write_throughput_p95_Bps,write_throughput_max_Bps,freeable_mem_avg_gib,free_storage_space_avg_bytes,free_local_storage_avg_bytes,read_latency_avg_sec,read_latency_p95_sec,read_latency_max_sec,write_latency_avg_sec,write_latency_p95_sec,write_latency_max_sec,rightsizing_note
tea-fi,533267204778,us-east-1,prod-rds,postgres,db.t3.2xlarge,us-east-1c,vpc-055e458da6e0277b3,,io2,200,3000,provisioned,3.9325783800899456,6.412603226632606,15.87997963166924,13.617212301587301,19.857142857142858,232.57142857142858,263.37351822203425,1189.7881943015573,2184.1596712139085,72.45999518065717,144.7318894622973,1306.3807578697492,39.65960647671857,2606405.080393503,11661715.840036612,31519397.07945269,1235894.6976532475,2472776.758371503,41755440.14928304,21.34062871876217,81781699574.85715,,0.0004711067241291436,0.0005340550172327325,0.0009460716114927293,0.00305352830443448,0.003631076667202436,0.26134700200411604,Consider smaller instance (low CPU & memory headroom)
tea-fi,533267204778,us-east-1,prod-rds-replica,postgres,db.r5d.2xlarge,us-east-1b,vpc-055e458da6e0277b3,,io2,260,3000,provisioned,14.615260504300403,27.729482850179284,60.46696767665627,27.11423611111111,52.607142857142826,121.71428571428571,949.9438459875018,2465.0598849848802,3346.2627695109836,69.3301788072866,139.4130589324612,982.6610240358425,82.16866283282934,12547314.462776449,34398569.873191044,52465411.91148446,956140.958376778,1935746.7665515358,31229325.011113737,43.53761585496721,144978549533.25714,,0.0025678362935477117,0.0066747006735408945,0.01037642859012541,0.006511556198227429,0.018112036187712587,0.27858420229583153,IOPS near capacity
tea-fi,533267204778,us-east-2,stage-rds,postgres,db.t3.large,us-east-2c,vpc-0a5952859fc492fbe,,gp2,50,150,baseline≈3*GiB (min 100),4.130457078760425,4.783672947461071,12.421151961605897,1.8949900793650793,4.5,16.071428571428573,0.2679832545306298,0.3618903189872711,0.6095103603947569,1.769500382174879,2.3999557132825386,11.323585370682906,1.5999704755216924,144.17571283949493,195.0533134449798,550.8686471196958,237340.10558001822,281628.0642074189,464685.9977497217,4.736259689406743,49382358826.86984,,0.00012542317919744163,0.00019506493506493485,0.00042857142857142866,0.009304398745271517,0.01330680747504118,0.031751520302403934,Consider smaller instance (low CPU & memory headroom)
tea-fi,533267204778,us-east-2,stage-rds-replica,postgres,db.t3.medium,us-east-2a,vpc-0a5952859fc492fbe,,gp2,50,150,baseline≈3*GiB (min 100),4.02164635185082,4.190525975152152,4.5121190636143504,0.0,0.0,0.0,0.27420793171793234,0.3619150417072007,1.795128513304994,1.766924281298146,2.584884494698952,11.286214768498386,1.7232563297993015,282.710027560757,414.40013247505,36749.476833001805,244088.28128824796,350853.28170678695,480676.5238800422,2.686205175755516,49496825254.19682,,0.00016202371070263332,0.0004,0.0012634508348794062,0.007578399992176065,0.010915442015349046,0.030008403243506006,Consider smaller instance (low CPU & memory headroom)
